product_code,base_product_name,category,is_event_product
SMF24654511,"제주 산지직송 황금향 선물세트 가정용 2kg, 1.5kg",황금향,0
SMF82923688,"제주 산지직송 하우스감귤 2kg, 4kg, 4.5kg 소과 로얄과 중대과",감귤,1
SMF68590571,제주 산지직송 하우스감귤,감귤,1
SMF87846210,"2025 첫수확 노지감귤 가정용 3kg, 5kg",감귤,0
SMF29718566,제주 산지직송 황금향 선물세트 가정용,황금향,0
SMF35967612,초고당도 감귤 신품종[유라실생] 4.5kg(실중량4kg),감귤,0
SMF28240458,과즙폭발 꿀당도 보장 감귤 [유라실생],감귤,0
SMF97813435,과즙폭발 꿀당도 보장 고당도 감귤 2kg + 황금향 2kg,감귤,0
SMF28555734,[킹댕즈 보장!]초고당도 타이벡 감귤 2025년 첫수확,감귤,0
SMF14158451,"[1+1이벤트]초고당도 타이벡 감귤, 1월 6일 출고 예정",감귤,1
SMF79565974,"해남 꿀고구마, 베니하루카 품종 포슬포슬",기타,0
SMF34633170,실속만점 가정용 하우스 한라봉&레드향,레드향,0
SMF78619818,과즙폭발 겨울의 꽃 조생 감귤,감귤,0
SMF13606317,제주산 구좌 흙당근 비세척,기타,0
SMF24484057,초고당도 타이벡감귤 2025년 첫 수확,감귤,0
SMF87201852,초고당도 타이벡감귤 2025년 첫 수확,감귤,0
SMF95760083,과즙폭발 겨울의 꽃 조생 감귤,감귤,0
SMF26601701,엄선된 프리미엄 과일 선물세트,기타,0
SMF35431331,하우스 한라봉 깜짝 이벤트! 덤 500g 추가 증정!,기타,0
SMF56651816,제주 농장 산지직송 노지 한라봉 가정용 5kg 10kg,기타,0
SMF43939661,겨울 한정 초고당도 타이벡 감귤,감귤,0
SMF20680079,제주 특품 한라봉 대과 선물세트 5kg,기타,0
SMF37504939,논산 설향딸기 달콤함 가득 겨울과일,기타,0
SMF13166336,♥1년 중 20일만 맛 볼 수 있는 고당도 노지 황금향♥,황금향,0
SMF45712223,"경남 제철 부유단감 3kg, 5kg",기타,0
SMF12484491,제주 고당도 신품종 옐로향 유라조생 하우스감귤,감귤,0
SMF36412041,초고당도 타이벡감귤 2025년 첫 수확,감귤,0
SMF88753441,"해남 숙성꿀고구마, 베니하루카 3kg 5kg 10kg 한입 중 특상",기타,0
SMF21246352,사전예약 저농약 황금향 2.5kg+감귤 대과 2.5kg 추가증정,감귤,0
SMF88567954,초고당도 감귤 신품종[유라실생] 4.5kg(실중량4kg),감귤,0
